[500] Loss: 1341.32332 time: (393.8,3166.0) vloss: 78.667 CER: 1.0000 NER: 1.0000 lr: 0.00994 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[1000] Loss: 78.59164 time: (395.1,3131.4) vloss: 76.744 CER: 1.0000 NER: 1.0000 lr: 0.00987 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[1500] Loss: 78.33401 time: (395.0,3195.1) vloss: 76.527 CER: 1.0000 NER: 1.0000 lr: 0.00981 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[2000] Loss: 69.12543 time: (400.7,3149.1) vloss: 76.488 CER: 1.0000 NER: 1.0000 lr: 0.00975 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[2500] Loss: 73.82166 time: (396.9,3225.8) vloss: 76.430 CER: 1.0000 NER: 1.0000 lr: 0.00969 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[3000] Loss: 70.83069 time: (397.3,3163.2) vloss: 76.417 CER: 1.0000 NER: 1.0000 lr: 0.00962 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[3500] Loss: 70.77516 time: (391.9,3155.1) vloss: 76.387 CER: 1.0000 NER: 1.0000 lr: 0.00956 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[4000] Loss: 74.98191 time: (392.6,3200.8) vloss: 76.324 CER: 1.0000 NER: 1.0000 lr: 0.00950 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[4500] Loss: 73.19985 time: (394.6,3134.4) vloss: 76.366 CER: 1.0000 NER: 1.0000 lr: 0.00944 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[5000] Loss: 76.82038 time: (397.2,3147.3) vloss: 76.329 CER: 1.0000 NER: 1.0000 lr: 0.00938 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[5500] Loss: 75.77217 time: (391.5,3161.6) vloss: 76.240 CER: 1.0000 NER: 1.0000 lr: 0.00932 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[6000] Loss: 72.38743 time: (391.4,3140.3) vloss: 76.192 CER: 1.0000 NER: 1.0000 lr: 0.00926 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[6500] Loss: 73.09984 time: (396.2,3211.4) vloss: 76.183 CER: 1.0000 NER: 1.0000 lr: 0.00920 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[7000] Loss: 73.36771 time: (393.8,3154.8) vloss: 76.071 CER: 1.0000 NER: 1.0000 lr: 0.00914 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[7500] Loss: 80.86755 time: (396.9,3131.6) vloss: 76.380 CER: 1.0000 NER: 1.0000 lr: 0.00908 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
[8000] Loss: 69.24071 time: (397.3,3110.9) vloss: 76.278 CER: 1.0000 NER: 1.0000 lr: 0.00903 bAcc: 0.0, bNER: 1.0000, bCER: 1.0000, B: 0.00
